,NCT Number,Title,Interventions,Phases,Official Title
989,NCT00003650,combin chemotherapi in treat children with nonhodgkin lymphoma,"['asparaginase', 'cyclophosphamide', 'cytarabine', 'daunorubicin hydrochloride', 'dexamethasone', 'etoposide', 'mercaptopurine', 'methotrexate', 'methylprednisolone', 'mitoxantrone hydrochloride', 'prednisone', 'vincristine sulfate']",['3'],phase iii studi of combin chemotherapi in children with t cell and preb cell nonhodgkin lymphoma
990,NCT00481871,studi of pralatrex  gemcitabin with b12  folic acid to treat relapsedrefractori lymphoprolif malign,"['pralatrexate injection', 'gemcitabine hydrochloride']","['1', '2']",a phase 12a openlabel studi of pralatrex and gemcitabin with vitamin b12 and folic acid supplement in patient with relaps or refractori lymphoprolif malign
993,NCT01897012,alisertib and romidepsin in treat patient with relaps or refractori bcell or tcell lymphoma,"['alisertib', 'romidepsin']",['1'],a phase 1 trial of mln8237 plus romidepsin for relapsedrefractori aggress bcell and tcell lymphoma
994,NCT00166439,trial of oxaliplatin cytosin arabinoside dexamethason with rituxan road in patient with relaps nonhodgkin lymphoma,"['oxaliplatin', 'cytosine arabinoside', 'dexamethasone with rituxan ']",['2'],a phase ii trial of oxaliplatin cytosin arabinoside dexamethason with rituxan road in patient with relaps cd20 bcell nonhodgkin lymphoma
995,NCT00006669,rituximab follow by combin chemotherapi in treat patient with refractori or recurr nonhodgkin lymphoma,"['epoch regimen', 'cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'prednisone', 'vincristine sulfate']",['2'],phase ii trial of epoch and rituxan combin therapi in patient with refractori or relaps cd20 posit intermedi grade bcell nonhodgkin lymphoma
997,NCT02055820,a safeti and pharmacokinet pk studi of venetoclax in particip with nonhodgkin lymphoma,"['venetoclax', 'cyclophosphamide', 'obinutuzumab', 'rituximab', 'doxorubicin', 'vincristine', 'prednisone']","['1', '2']",a phase ibii openlabel studi evalu the safeti and pharmacokinet of gdc0199 abt199 in combin with rituximab r or obinutuzumab g plus cyclophosphamide doxorubicin vincristine and prednison chop in patient with bcell nonhodgkin lymphoma nhl and dlbcl
998,NCT00028665,cyclophosphamid wor wout rituximab and peripher stem cell transplant in patient with recurr nonhodgkin lymphoma,"['carmustine', 'cisplatin', 'cyclophosphamide', 'etoposide']",['2'],random phase ii trial of blymphocyt purg of autolog peripher blood progenitor cell in patient with bcell nonhodgkin lymphoma
999,NCT00807495,studi of alisertib mln8237 in adult with aggress nonhodgkin lymphoma,['alisertib'],['2'],a phase 2 trial of mln8237 an oral aurora a kinas inhibitor in adult patient with aggress nonhodgkin lymphoma
1004,NCT01007292,a studi of ym155 plus rituximab in subject with nonhodgkin lymphoma who have receiv prior treatment,['ym155'],['2'],a phase ii multicenter openlabel studi of ym155 plus rituximab in previous treat subject with cd20posit b cell nonhodgkin lymphoma who are inelig for or have previous receiv an autolog stem cell transplant
1005,NCT01848652,phase ii studi evalu a combin of pegyl liposom doxorubicin and dexamethason for the treatment of immunocompet patient with cerebr lymphoma relaps or refractori to firstlin chemotherapi with high dose methotrex mtxhd and  or highdos cytarabine,['infusion of myocet'],['2'],phase ii studi evalu the combin pegyl liposom doxorubicin and dexamethason for the treatment of immunocompet patient with cerebr lymphoma relaps or refractori to firstlin chemotherapi contain high dose methotrex mtxhd and  or highdos cytarabine
1006,NCT02568553,lenalidomid and blinatumomab in treat patient with relaps nonhodgkin lymphoma,['lenalidomide'],['1'],a phase i trial of the combin of lenalidomid and blinatumomab in patient with relaps or refractori nonhodgkin lymphoma nhl
1007,NCT02142530,carfilzomib plus belinostat in relapsedrefractori nhl,"['carfilzomib', 'belinostat']",['1'],carfilzomib plus belinostat in relapsedrefractori nonhodgkin lymphoma subtypes a phase 1 studi
1008,NCT00006695,monoclon antibodi therapy combin chemotherapy and peripher stem cell transplant in treat patient with relaps or refractori nonhodgkin lymphoma,"['carmustine', 'cytarabine', 'etoposide', 'melphalan']",['2'],beam plus iodine131 antib1 antibodi and autolog hematopoiet stem cell transplant for treatment of recurr diffus larg bcell nonhodgkin lymphoma
1010,NCT01206777,feasibl studi of a 60 minut rapid infus rituximab protocol in patient with bcell malign,['rituximab'],['2'],assess of hypersensit reaction and feasibl of a 60 minut rapid infus rituximab protocol in patient with bcell nonhodgkin lymphoma nhl and chronic lymphocyt leukemia cll at a comprehens cancer center
1012,NCT00032019,combin chemotherapi and monoclon antibodi therapi in treat patient with nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'prednisone', 'vincristine sulfate']",['2'],phase ii studi of doseadjust epochrituximab epochr chemotherapi for patient with previous untreat aggress cd20 bcell nonhodgkin lymphoma nhl
1018,NCT01410513,studi combin sar245409 with rituximab or bendamustin plus rituximab in patient with indol lymphoma mantl cell lymphoma and chronic lymphocyt leukemia,['sar245409'],['1'],a phase 1b multicenter openlabel dose escal studi of sar245409 to evalu the safety toler and clinic activ of sar245409 in combin with rituximab or bendamustin plus rituximab in patient with relaps or refractori indol bcell nonhodgkin lymphoma mantl cell lymphoma or chronic lymphocyt leukemia
1019,NCT00022932,safeti and efficaci of iodine131 antib1 antibodi for intermedi grade nonhodgkin lymphoma follow first line chop,['iodine-131 anti'],['2'],phase ii multicent studi of iodine131 antib1 antibodi consolid for patient with diffus larg bcell nonhodgkin lymphoma follow firstlin chop
1020,NCT00347971,studi of recombin interleukin 21 in combin with rituxan for nonhodgkin lymphoma,"['recombinant human interleukin 21', 'rituximab']",['1'],phase 1 openlabel doseescal studi to assess the safeti and pharmacokinet of recombin interleukin 21 ril21 administ in combin with rituxan rituximab in subject with bcell non hodgkin lymphoma
1022,NCT00562978,yttrium y 90 ibritumomab tiuxetan etoposide cyclophosphamide and an autolog stem cell transplant in treat patient with nonhodgkin lymphoma,"['cyclophosphamide', 'etoposide']","['1', '2']",a phase iii trial of escal dose of yttrium90label anticd20 monoclon antibodi in combin with highdos etoposid and cyclophosphamid follow by autolog stem cell transplant for patient with relaps bcell nonhodgkin lymphoma
1025,NCT00517049,a studi of pro95780 in combin with rituximab in patient with nonhodgkin lymphoma that has progress follow previous rituximab therapi apm4083g,"['pro95780', 'rituximab']",['2'],a phase ii singlearm openlabel studi of the safety pharmacokinetics and efficaci of multipl dose of pro95780 administ intraven in combin with rituximab in patient with follicular cd20posit bcell nonhodgkin lymphoma that has progress follow previous rituximab therapi
1026,NCT00064116,combin chemotherapi with or without rituximab in treat patient with nonhodgkin lymphoma,['chop regimen'],['3'],random intergroup trial of first line treatment for patient with diffus larg bcell nonhodgkin lymphoma with a choplik chemotherapi regimen with or without the anticd20 antibodi rituximab idecc2b8
1027,NCT00006708,s0019 combin chemotherapi with or without rituximab in treat patient with relaps or refractori nonhodgkin lymphoma,"['carboplatin', 'etoposide', 'ifosfamide']",['3'],a random phase iii trial of ice chemotherapi with or without rituximab for the treatment of relaps or refractori cd20 express aggress bcell nonhodgkin lymphoma in patient not suitabl for high dose therapi and pbsct
1028,NCT01820910,phase ii trial of firstlin doxycyclin for ocular adnex margin zone lymphoma treatment,['doxycycline'],['2'],intern prospect phase 2 trial address the efficaci of firstlin chlamydophila psittacierad therapi with protract administr of doxycyclin follow by erad monitor and antibiot retreat at infect reoccurr in patient with newli diagnos ocular adnex margin zone lymphoma oamzl
1029,NCT00562965,studi compar inotuzumab ozogamicin in combin with rituximab versus defin investig choic in follicular nonhodgkin lymphoma nhl,"['inotuzumab ozogamicin', 'rituximab', 'cyclophosphamide', 'vincristine', 'prednisone', 'mitoxantrone', 'fludarabine', 'dexamethasone']",['3'],an openlabel randomized phase 3 studi of inotuzumab ozogamicin cmc544 administ in combin with rituximab compar to a defin investig choic therapi in subject with relaps or refractory cd22 positive follicular bcell non hodgkin lymphoma
1030,NCT01516606,salvag therapi with high dose oral clarithromycin in relaps or refractori extranod margin zone lymphoma,"['clarithromycin', 'oral', 'high dose']",['2'],phase ii clinic trial on the activ of salvag therapi with high dose oral clarithromycin in patient with relaps or refractori extranod margin zone lymphoma
1031,NCT01427114,rcvp for the treatment of nonconjunctiv ocular adnex malt lymphoma oaml,"['rituximab', 'cyclophosphamide', 'vincristine,', 'prednisolone']",['2'],openlabeled multicent phase ii studi of rituximab cyclophosphamide vincristine and prednisolon rcvp chemotherapi in patient with nonconjunctiv ocular adnex malt lymphoma
1032,NCT01514344,intralesion rituximab for the treatment of conjunctiv indol lymphoma,['intralesional rituximab'],['2'],phase ii studi on activ and toler of intralesion rituximab in patient with relaps or refractori cd20 indol lymphoma of conjunctiva activ of supplement autolog serum in patient not respons to rituximab alon
1033,NCT02393157,obinutuzumab and ice chemotherapi in refractoryrecurr cd20 matur nhl,"['obinutuzumab', 'liposomal ara', 'ifosfamide', 'carboplatin', 'etoposide']",['2'],chemoimmunotherapi with obinutuzumab ifosfamide carboplatin and etoposid oice in children adolesc and young adult with recurr refractori cd20 matur bnhl
1034,NCT00012051,chemotherapi and peripher stem cell transplant with or without monoclon antibodi therapi in treat patient with nonhodgkin lymphoma,"['carmustine', 'cisplatin', 'cytarabine', 'dexamethasone', 'etoposide', 'ifosfamide', 'melphalan', 'methotrexate']",['3'],a randomis phase iii studi on the effect of the chimer anticd20 monoclon antibodi mabthera dure sequenti chemotherapi follow by autolog stem cell transplant in patient with relaps bcell nonhodgkin lymphomahovon 44 study
1035,NCT00923663,trial of lenalidomid in patient with lymphoma of the mucosa associ lymphoid tissu malt type,['lenalidomide'],['2'],phase ii trial of lenalidomid in patient with lymphoma of the mucosa associ lymphoid tissu malt type
1037,NCT01015248,trial of bendamustin and rituximab for patient with previous untreat extranod mucosaassoci lymphoid tissu malt lymphoma,"['rituximab', 'bendamustine']",['2'],multicentric nonrandom phase 2 trial of bendamustin and rituximab for patient with previous untreat extranod mucosaassoci lymphoid tissu malt lymphoma
1038,NCT00400764,a studi of dulanermin in combin with rituximab in subject with follicular and other low grade cd20 nonhodgkin lymphoma,"['dulanermin', 'rituximab']","['1', '2']",a phase ibii openlabel multicent studi of the safety pharmacokinetics and efficaci of dulanermin administ intraven in combin with rituximab to subject with follicular and other lowgrade cd20 bcell nonhodgkin lymphoma that have progress follow previous rituximab therapi
1040,NCT01842672,mitoxantron and clofarabin for treatment of recurr nhl or acut leukemia,"['clofarabine', 'mitoxantrone']","['1', '2']",a pilot studi of mitoxantron in combin with clofarabin mitcl in children adolesc and young adult caya with refractoryrelaps acut leukemia or high grade nonhodgkin lymphoma
1042,NCT01799889,entospletinib in adult with relaps or refractori hematolog malign,"['entospletinib', 'entospletinib sdd']",['2'],a phase 2 openlabel studi evalu the efficacy safety tolerability and pharmacodynam of gs9973 in subject with relaps or refractori hematolog malign
1044,NCT00656812,rituximab plus 2cda in patient with advanc or relaps mucosa associ lymphoid tissu malt lymphoma,"['rituximab', '2-cda']",['2'],phase ii trial of rituximab plus 2cda in patient with advanc or relaps lymphoma of the mucosa associ lymphoid tissu malt
1045,NCT00244855,rituximab and dexamethason in treat patient with lowgrad nonhodgkin lymphoma,['dexamethasone'],['2'],rituximab and dexamethason in cd20 posit low grade and follicular nonhodgkin lymphoma
1046,NCT00453102,yttrium y 90 ibritumomab tiuxetan and rituximab in treat patient with previous untreat margin zone lymphoma,"['rituximab', 'ibritumomab tiuxetan']",['2'],phase ii studi of ibritumomab tiuxetan zevalin® in patient with previous untreat margin zone lymphoma
1047,NCT00373646,thalidomid in mucosa associ lymphoid tissu malt lymphoma patient,"['thalidomide', 'pharmion']",['2'],phase ii trial of thalidomid thalidomid pharmion in patient with advanc or relaps lymphoma of the mucosa associ lymphoid tissu malt
1049,NCT02701517,cyclosporin plus methotrex or alemtuzumab,"['cyclosporine', 'methotrexate', 'cyclosporine', 'campath']",['2'],random trial of cyclosporin  campath1h alemtuzumab vs cyclosporin  methotrex in patient diagnos with matur bcell neoplasm  chronic lymphocyt leukemia and lowgrad lymphoma  receiv allogen hematopoiet stem cell transplant with nonmyeloabl condit regimen
1051,NCT01238146,obatoclax mesylate rituximab and bendamustin hydrochlorid in treat patient with relaps or refractori nonhodgkin lymphoma,"['bendamustine hydrochloride', 'obatoclax mesylate']","['1', '2']",a phase iii trial of rituximab bendamustine and obatoclax in patient with relaps or refractori indol nonhodgkin lymphoma
