"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
1092,"NCT02652715","Salvia Hispanica Seed in Reducing Risk of Disease Recurrence in Patients With Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Other: Laboratory Biomarker Analysis|Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Dietary Supplement: Salvia hispanica Seed","Not Applicable","null","https://ClinicalTrials.gov/show/NCT02652715"
1093,"NCT01658319","Methoxyamine and Fludarabine Phosphate in Treating Patients With Relapsed or Refractory Hematologic Malignancies",,"Completed","No Results Available","Drug: fludarabine phosphate|Drug: methoxyamine|Other: laboratory biomarker analysis|Other: pharmacological study|Genetic: western blotting|Other: mass spectrometry|Genetic: DNA analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01658319"
1094,"NCT01839916","Donor T Cells After Donor Stem Cell Transplant in Treating Patients With Hematologic Malignancies",,"Active, not recruiting","No Results Available","Biological: therapeutic allogeneic lymphocytes|Other: laboratory biomarker analysis","Phase 2","null","https://ClinicalTrials.gov/show/NCT01839916"
1095,"NCT01760655","Reduced-Intensity Conditioning Before Donor Stem Cell Transplant in Treating Patients With High-Risk Hematologic Malignancies",,"Recruiting","No Results Available","Drug: Fludarabine phosphate|Drug: Thiotepa|Radiation: Total body irradiation|Biological: Therapeutic allogeneic lymphocytes|Drug: Cyclophosphamide|Procedure: Allogeneic hematopoietic stem cell transplantation (HSCT)|Procedure: Peripheral blood stem cell transplantation|Drug: Tacrolimus|Drug: Mycophenolate mofetil","Phase 2","null","https://ClinicalTrials.gov/show/NCT01760655"
1096,"NCT01652014","Single or Double Donor Umbilical Cord Blood Transplant in Treating Patients With High-Risk Hematologic Malignancies",,"Withdrawn","No Results Available","Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: mycophenolate mofetil|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: umbilical cord blood transplantation|Procedure: double-unit umbilical cord blood transplantation|Radiation: total-body irradiation|Drug: tacrolimus|Procedure: peripheral blood stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT01652014"
1097,"NCT00458731","Bevacizumab and Cediranib Maleate in Treating Patients With Metastatic or Unresectable Solid Tumor, Lymphoma, Intracranial Glioblastoma, Gliosarcoma or Anaplastic Astrocytoma",,"Completed","No Results Available","Biological: bevacizumab|Drug: cediranib maleate","Phase 1","null","https://ClinicalTrials.gov/show/NCT00458731"
1098,"NCT01427881","Cyclophosphamide for Prevention of Graft-Versus-Host Disease After Allogeneic Peripheral Blood Stem Cell Transplantation in Patients With Hematological Malignancies",,"Completed","Has Results","Drug: cyclophosphamide|Drug: cyclosporine|Procedure: peripheral blood stem cell transplantation|Radiation: total-body irradiation|Drug: fludarabine phosphate|Drug: busulfan|Procedure: allogeneic hematopoietic stem cell transplantation","Phase 2","May 19, 2017","https://ClinicalTrials.gov/show/NCT01427881"
1099,"NCT01273766","Deferasirox in Treating Iron Overload Caused By Blood Transfusions in Patients With Hematologic Malignancies",,"Completed","Has Results","Drug: deferasirox|Other: laboratory biomarker analysis|Other: enzyme-linked immunosorbent assay","Phase 2","November 27, 2013","https://ClinicalTrials.gov/show/NCT01273766"
1100,"NCT01199562","Infection Prophylaxis and Management in Treating Cytomegalovirus (CMV) Infection in Patients With Hematologic Malignancies Previously Treated With Donor Stem Cell Transplant",,"Completed","No Results Available","Procedure: infection prophylaxis and management|Other: laboratory biomarker analysis|Other: flow cytometry|Genetic: DNA analysis|Genetic: RNA analysis|Procedure: management of therapy complications|Drug: ganciclovir|Drug: valganciclovir|Drug: foscarnet sodium|Procedure: antiviral therapy|Genetic: polymerase chain reaction|Genetic: protein expression analysis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01199562"
1101,"NCT01158274","RO4929097 and Capecitabine in Treating Patients With Refractory Solid Tumors",,"Completed","No Results Available","Drug: gamma-secretase/Notch signalling pathway inhibitor RO4929097|Drug: capecitabine|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01158274"
1102,"NCT01093586","Donor Umbilical Cord Blood Stem Cell Transplant in Treating Patients With Hematologic Malignancies",,"Completed","No Results Available","Procedure: double-unit umbilical cord blood transplantation|Other: cytogenetic analysis|Procedure: bone marrow aspiration|Other: fluorescence in situ hybridization|Drug: busulfan|Drug: cyclophosphamide|Drug: anti-thymocyte globulin|Drug: methylprednisolone|Drug: cyclosporine|Drug: mycophenolate mofetil|Other: flow cytometry|Procedure: allogeneic hematopoietic stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT01093586"
1103,"NCT00058227","Alvocidib, Fludarabine Phosphate, and Rituximab in Treating Patients With Lymphoproliferative Disorders or Mantle Cell Lymphoma",,"Completed","No Results Available","Drug: alvocidib|Drug: fludarabine phosphate|Biological: rituximab|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00058227"
1104,"NCT00890747","Sunitinib Malate in Treating HIV-Positive Patients With Cancer Receiving Antiretroviral Therapy",,"Completed","No Results Available","Drug: sunitinib malate|Other: pharmacological study|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT00890747"
1105,"NCT00644189","Oral Clofarabine for Relapsed/Refractory Non-Hodgkin Lymphoma",,"Terminated","Has Results","Drug: Clofarabine","Phase 1|Phase 2","May 8, 2017","https://ClinicalTrials.gov/show/NCT00644189"
1106,"NCT00112593","Fludarabine and Total-Body Irradiation Followed By Donor Stem Cell Transplant and Cyclosporine and Mycophenolate Mofetil in Treating HIV-Positive Patients With or Without Cancer",,"Completed","Has Results","Drug: fludarabine phosphate|Radiation: total-body irradiation|Procedure: peripheral blood stem cell transplantation|Drug: cyclosporine|Drug: mycophenolate mofetil|Other: laboratory biomarker analysis","Not Applicable","May 24, 2017","https://ClinicalTrials.gov/show/NCT00112593"
1107,"NCT00072514","Gemcitabine Hydrochloride, Carboplatin, Dexamethasone, and Rituximab in Treating Patients With Previously Treated Lymphoid Malignancies",,"Completed","Has Results","Drug: gemcitabine hydrochloride|Drug: carboplatin|Drug: dexamethasone|Biological: rituximab","Phase 2","June 29, 2017","https://ClinicalTrials.gov/show/NCT00072514"
1108,"NCT00118352","Alemtuzumab, Fludarabine Phosphate, and Total-Body Irradiation Followed by Cyclosporine and Mycophenolate Mofetil in Treating Patients Who Are Undergoing Donor Stem Cell Transplant for Hematologic Cancer",,"Completed","Has Results","Biological: alemtuzumab|Radiation: total-body irradiation|Drug: fludarabine phosphate|Drug: cyclosporine|Drug: mycophenolate mofetil|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation|Biological: graft versus host disease prophylaxis/therapy|Other: laboratory biomarker analysis","Phase 2","May 30, 2017","https://ClinicalTrials.gov/show/NCT00118352"
1109,"NCT00003210","Interleukin-12 in Treating Patients With Previously Treated Non-Hodgkin's Lymphoma or Hodgkin's Disease",,"Completed","No Results Available","Biological: recombinant interleukin-12|Other: laboratory biomarker analysis","Phase 2","null","https://ClinicalTrials.gov/show/NCT00003210"
1110,"NCT01261247","Panobinostat in Treating Patients With Relapsed or Refractory Non-Hodgkin Lymphoma",,"Active, not recruiting","Has Results","Drug: panobinostat|Other: laboratory biomarker analysis|Genetic: western blotting|Genetic: DNA analysis|Other: flow cytometry|Other: pharmacological study|Other: immunohistochemistry staining method","Phase 2","May 17, 2018","https://ClinicalTrials.gov/show/NCT01261247"
1111,"NCT00058305","Bryostatin 1 Plus Vincristine in Treating Patients With Progressive or Relapsed Non-Hodgkin's Lymphoma After Bone Marrow or Stem Cell Transplantation",,"Completed","No Results Available","Drug: bryostatin 1|Drug: vincristine sulfate|Other: laboratory biomarker analysis","Phase 2","null","https://ClinicalTrials.gov/show/NCT00058305"
1112,"NCT00012298","Radiolabeled Monoclonal Antibody Plus Rituximab With and Without Filgrastim and Interleukin-11 in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma",,"Terminated","Has Results","Biological: rituximab|Biological: yttrium Y 90 ibritumomab tiuxetan|Biological: indium In 111 ibritumomab tiuxetan|Biological: oprelvekin|Biological: filgrastim","Phase 1|Phase 2","December 17, 2015","https://ClinicalTrials.gov/show/NCT00012298"
1113,"NCT00089011","Tacrolimus and Mycophenolate Mofetil in Preventing Graft-Versus-Host Disease in Patients Who Have Undergone Total-Body Irradiation With or Without Fludarabine Phosphate Followed by Donor Peripheral Blood Stem Cell Transplant for Hematologic Cancer",,"Active, not recruiting","Has Results","Drug: fludarabine phosphate|Radiation: total-body irradiation|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: peripheral blood stem cell transplantation|Procedure: nonmyeloablative allogeneic hematopoietic stem cell transplantation|Other: laboratory biomarker analysis","Phase 2","May 22, 2017","https://ClinicalTrials.gov/show/NCT00089011"
1114,"NCT00006251","Fludarabine Phosphate, Low-Dose Total-Body Irradiation, and Donor Stem Cell Transplant Followed by Cyclosporine, Mycophenolate Mofetil, Donor Lymphocyte Infusion in Treating Patients With Hematopoietic Cancer",,"Active, not recruiting","No Results Available","Radiation: total-body irradiation|Drug: fludarabine phosphate|Drug: cyclosporine|Drug: mycophenolate mofetil|Procedure: nonmyeloablative allogeneic hematopoietic stem cell transplantation|Biological: donor lymphocytes|Procedure: peripheral blood stem cell transplantation|Other: laboratory biomarker analysis","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00006251"
1115,"NCT00017472","Monoclonal Antibody Therapy in Treating Patients With Chronic Lymphocytic Leukemia, Lymphocytic Lymphoma, Acute Lymphoblastic Leukemia, or Acute Myeloid Leukemia",,"Completed","No Results Available","Biological: apolizumab|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00017472"
1116,"NCT00005786","Arsenic Trioxide in Treating Patients With Relapsed or Refractory Lymphoma or Leukemia",,"Terminated","No Results Available","Drug: arsenic trioxide|Other: laboratory biomarker analysis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00005786"
1117,"NCT00014235","Fludarabine Phosphate and Total-Body Radiation Followed by Donor Peripheral Blood Stem Cell Transplant and Immunosuppression in Treating Patients With Hematologic Malignancies",,"Active, not recruiting","No Results Available","Drug: fludarabine phosphate|Radiation: total-body irradiation|Procedure: peripheral blood stem cell transplantation|Procedure: allogeneic hematopoietic stem cell transplantation|Drug: cyclosporine|Drug: mycophenolate mofetil|Other: laboratory biomarker analysis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00014235"
1118,"NCT00049504","Haploidentical Donor Bone Marrow Transplant in Treating Patients With High-Risk Hematologic Cancer",,"Completed","Has Results","Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: tacrolimus|Drug: mycophenolate mofetil|Genetic: polymerase chain reaction|Genetic: fluorescence in situ hybridization|Genetic: polymorphism analysis|Genetic: gene expression analysis|Radiation: total-body irradiation|Procedure: allogeneic bone marrow transplantation|Procedure: allogeneic hematopoietic stem cell transplantation","Phase 2","May 17, 2017","https://ClinicalTrials.gov/show/NCT00049504"
1119,"NCT00118170","Sorafenib in Treating Patients With Metastatic or Unresectable Solid Tumors, Multiple Myeloma, or Non-Hodgkin's Lymphoma With or Without Impaired Liver or Kidney Function",,"Completed","No Results Available","Drug: sorafenib tosylate|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00118170"
1120,"NCT00006473","Oxaliplatin in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: oxaliplatin","Phase 2","null","https://ClinicalTrials.gov/show/NCT00006473"
1121,"NCT00068315","Bortezomib and Fludarabine With or Without Rituximab in Treating Patients With Relapsed or Refractory Indolent Non-Hodgkin's Lymphoma or Chronic Lymphocytic Leukemia",,"Completed","No Results Available","Drug: bortezomib|Drug: fludarabine phosphate|Biological: rituximab","Phase 1","null","https://ClinicalTrials.gov/show/NCT00068315"
1122,"NCT00918333","Panobinostat and Everolimus in Treating Patients With Recurrent Multiple Myeloma, Non-Hodgkin Lymphoma, or Hodgkin Lymphoma",,"Active, not recruiting","Has Results","Drug: panobinostat|Drug: everolimus|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 1|Phase 2","May 18, 2018","https://ClinicalTrials.gov/show/NCT00918333"
1123,"NCT00019708","Geldanamycin Analogue in Treating Patients With Advanced Solid Tumors or Non-Hodgkin's Lymphoma",,"Terminated","No Results Available","Drug: tanespimycin","Phase 1","null","https://ClinicalTrials.gov/show/NCT00019708"
1124,"NCT00060112","Oblimersen and Gemcitabine in Treating Patients With Advanced Solid Tumor or Lymphoma",,"Terminated","No Results Available","Biological: oblimersen sodium|Drug: gemcitabine hydrochloride|Other: pharmacological study|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT00060112"
1125,"NCT00101244","SB-715992 in Treating Patients With Metastatic or Unresectable Solid Tumors or Hodgkin's or Non-Hodgkin's Lymphoma",,"Terminated","No Results Available","Drug: ispinesib|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00101244"
1126,"NCT00293345","3-AP and Gemcitabine in Treating Patients With Advanced Solid Tumors or Lymphoma",,"Completed","No Results Available","Drug: gemcitabine hydrochloride|Drug: triapine","Phase 1","null","https://ClinicalTrials.gov/show/NCT00293345"
1127,"NCT01251575","Sirolimus, Cyclosporine, and Mycophenolate Mofetil in Preventing Graft-versus-Host Disease in Treating Patients With Blood Cancer Undergoing Donor Peripheral Blood Stem Cell Transplant",,"Recruiting","No Results Available","Procedure: Allogeneic Hematopoietic Stem Cell Transplantation|Drug: Cyclosporine|Drug: Fludarabine Phosphate|Other: Laboratory Biomarker Analysis|Drug: Mycophenolate Mofetil|Procedure: Peripheral Blood Stem Cell Transplantation|Drug: Sirolimus|Radiation: Total-Body Irradiation","Phase 2","null","https://ClinicalTrials.gov/show/NCT01251575"
1128,"NCT00348985","PXD101 and Bortezomib in Treating Patients With Advanced Solid Tumors or Lymphomas",,"Completed","No Results Available","Drug: belinostat|Drug: bortezomib|Other: pharmacological study","Phase 1","null","https://ClinicalTrials.gov/show/NCT00348985"
1129,"NCT01035463","Lenalidomide Maintenance Therapy After High Dose BEAM With or Without Rituximab",,"Active, not recruiting","No Results Available","Drug: lenalidomide|Biological: rituximab|Procedure: autologous hematopoietic stem cell transplantation|Drug: carmustine|Drug: etoposide|Drug: cytarabine|Drug: melphalan","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01035463"
1130,"NCT01075321","Everolimus and Lenalidomide in Treating Patients With Relapsed or Refractory Non-Hodgkin or Hodgkin Lymphoma",,"Active, not recruiting","No Results Available","Drug: everolimus|Drug: lenalidomide|Other: laboratory biomarker analysis|Genetic: polymorphism analysis|Other: immunohistochemistry staining method|Genetic: microarray analysis|Genetic: fluorescence in situ hybridization","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01075321"
